task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
102	7f/f81e2b	2650443	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5556343)	COMPLETED	0	2023-10-18 17:59:58.615	4.4s	3s	73.5%	69.6 MB	1 GB	22.7 MB	6.6 KB
100	2f/d066e1	2649249	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2023-10-18 17:59:58.074	6.2s	6s	105.4%	7.8 MB	211.2 MB	32.9 MB	98.9 KB
69	ec/394f07	2647567	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SRR13500958)	COMPLETED	0	2023-10-18 17:59:57.246	8.2s	8s	120.7%	77.6 MB	118.1 MB	55.8 MB	50.4 MB
103	fd/a40b5e	2657557	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5405022)	COMPLETED	0	2023-10-18 18:00:03.004	2.9s	2s	110.1%	68.3 MB	1 GB	22.7 MB	6.8 KB
71	5a/f7304b	2661379	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5556343)	COMPLETED	0	2023-10-18 18:00:05.491	733ms	1s	134.6%	3.2 MB	8.7 MB	7.5 MB	113.6 KB
70	31/d3445c	2662963	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5556343)	COMPLETED	0	2023-10-18 18:00:06.228	704ms	0ms	122.5%	3.1 MB	8.7 MB	7.5 MB	182.9 KB
104	96/809cba	2659309	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5743893)	COMPLETED	0	2023-10-18 18:00:04.246	2.8s	2s	109.0%	83.6 MB	1 GB	22.7 MB	5.8 KB
106	ed/8d29e8	2662180	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (SRR13500958)	COMPLETED	0	2023-10-18 18:00:05.883	2.9s	2s	107.5%	83.3 MB	1 GB	22.7 MB	5 KB
84	f9/04585a	2650024	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5181310)	COMPLETED	0	2023-10-18 17:59:58.408	14.9s	15s	144.7%	1.3 GB	8.9 GB	85.6 MB	858.3 KB
75	34/3ba43d	2674499	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5405022)	COMPLETED	0	2023-10-18 18:00:13.304	438ms	0ms	199.3%	3.2 MB	8.7 MB	7.7 MB	295.6 KB
77	2d/000150	2675389	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5405022)	COMPLETED	0	2023-10-18 18:00:13.746	469ms	1s	193.5%	3.2 MB	8.7 MB	7.7 MB	405.6 KB
80	cd/c89f41	2676084	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5743893)	COMPLETED	0	2023-10-18 18:00:14.220	525ms	0ms	185.8%	3.2 MB	8.7 MB	4.8 MB	165.8 KB
78	9b/b72d51	2677060	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5743893)	COMPLETED	0	2023-10-18 18:00:14.751	519ms	1s	139.6%	3.2 MB	8.7 MB	4.8 MB	105.4 KB
82	f4/529c62	2677887	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (SRR13500958)	COMPLETED	0	2023-10-18 18:00:15.274	430ms	0ms	177.5%	3.1 MB	8.7 MB	5.4 MB	150.1 KB
81	13/7316b3	2678823	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (SRR13500958)	COMPLETED	0	2023-10-18 18:00:15.727	453ms	1s	167.7%	3.2 MB	8.7 MB	5.4 MB	221.5 KB
85	5f/0bfc31	2679674	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5181310)	COMPLETED	0	2023-10-18 18:00:16.184	1.2s	1s	201.9%	3.1 MB	8.7 MB	33 MB	342.2 KB
86	70/626818	2681391	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5181310)	COMPLETED	0	2023-10-18 18:00:17.367	909ms	1s	308.0%	3.1 MB	8.7 MB	33 MB	199.6 KB
73	38/a1cb8f	2664438	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5181310)	COMPLETED	0	2023-10-18 18:00:06.937	28.1s	27s	156.4%	558.3 MB	821.9 MB	558.8 MB	525.7 MB
105	46/cbcb16	2682867	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-18 18:00:18.281	17.3s	8s	4.4%	6.4 MB	51.6 MB	120.4 KB	5.8 KB
107	01/52773e	2702802	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-18 18:00:34.993	643ms	0ms	133.9%	3.5 MB	7.8 MB	120.6 KB	5.9 KB
109	16/0e9774	2703990	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-18 18:00:35.641	469ms	1s	195.7%	3.4 MB	7.8 MB	117.7 KB	4.5 KB
108	55/8bb5f1	2703903	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-18 18:00:35.608	553ms	1s	225.3%	3.2 MB	6.8 MB	119 KB	5.1 KB
111	74/a1209f	2705175	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_GENOME	COMPLETED	0	2023-10-18 18:00:36.164	6.9s	5s	77.0%	326.8 MB	1.4 GB	24.6 MB	129.9 KB
113	86/454d5f	2715563	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5556343)	COMPLETED	0	2023-10-18 18:00:43.049	551ms	0ms	17.1%	5.7 MB	15.7 MB	101.3 KB	3.2 KB
118	ce/7fbaad	2715564	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5405022)	COMPLETED	0	2023-10-18 18:00:43.052	579ms	0ms	17.2%	5.7 MB	15.7 MB	101.3 KB	3.2 KB
110	ac/876cae	2705063	NFCORE_VIRALRECON:ILLUMINA:PLOT_MOSDEPTH_REGIONS_AMPLICON	COMPLETED	0	2023-10-18 18:00:36.116	7.9s	6s	86.8%	336.8 MB	1.5 GB	24.6 MB	244.4 KB
122	0f/ae9b35	2716913	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5743893)	COMPLETED	0	2023-10-18 18:00:43.634	415ms	0ms	38.5%	3.4 MB	6.8 MB	101.1 KB	3.2 KB
121	0f/1a2a89	2716837	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (SRR13500958)	COMPLETED	0	2023-10-18 18:00:43.603	464ms	0ms	26.3%	3.5 MB	8.5 MB	101.1 KB	3.2 KB
115	ce/41b72c	2717686	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5556343)	COMPLETED	0	2023-10-18 18:00:43.991	566ms	0ms	132.5%	3.2 MB	6.6 MB	114.3 KB	1.9 KB
126	73/83c34f	2717818	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5556343)	COMPLETED	0	2023-10-18 18:00:44.053	545ms	0ms	87.3%	3.1 MB	6.8 MB	113.8 KB	3.9 KB
127	fc/542bd0	2717864	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5405022)	COMPLETED	0	2023-10-18 18:00:44.071	532ms	0ms	118.4%	3.4 MB	7.8 MB	113.9 KB	4 KB
131	22/c6101c	2719129	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (SRR13500958)	COMPLETED	0	2023-10-18 18:00:44.608	484ms	1s	97.1%	3.4 MB	7.8 MB	113.4 KB	3.6 KB
129	3b/88625f	2719115	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5743893)	COMPLETED	0	2023-10-18 18:00:44.602	559ms	1s	92.0%	3.4 MB	7.8 MB	113.5 KB	3.9 KB
133	bc/963adb	2720347	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5556343)	COMPLETED	0	2023-10-18 18:00:45.098	532ms	0ms	39.9%	4.5 MB	10.4 MB	101.3 KB	3.2 KB
112	63/deea07	2715555	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS_TO_VCF (ERR5181310)	COMPLETED	0	2023-10-18 18:00:43.046	2.9s	2s	111.5%	80.9 MB	1 GB	22.7 MB	6.7 KB
114	a0/565381	2719031	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5556343)	COMPLETED	0	2023-10-18 18:00:44.569	4.7s	5s	75.9%	146.7 MB	15.1 GB	20.8 MB	168.4 KB
116	8a/18d5a5	2727358	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5405022)	COMPLETED	0	2023-10-18 18:00:49.301	850ms	0ms	168.6%	3.1 MB	6.8 MB	114.4 KB	2 KB
140	d7/1a13ff	2728741	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5556343)	COMPLETED	0	2023-10-18 18:00:50.162	637ms	0ms	17.7%	3.2 MB	5.4 MB	128.5 KB	7.2 KB
141	70/21b386	2728769	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5405022)	COMPLETED	0	2023-10-18 18:00:50.169	716ms	0ms	42.4%	3.6 MB	8.5 MB	101.4 KB	3.2 KB
143	fc/da0ea5	2729872	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5556343)	COMPLETED	0	2023-10-18 18:00:50.889	3.4s	0ms	18.3%	5.6 MB	15.7 MB	104.4 KB	3.4 KB
134	39/6b1ae5	2720485	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5556343)	COMPLETED	0	2023-10-18 18:00:45.166	10s	8s	46.6%	21.4 MB	32.4 MB	115.6 MB	106.7 MB
142	fc/353325	2729747	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5405022)	COMPLETED	0	2023-10-18 18:00:50.813	7.3s	4s	67.5%	14.6 MB	38.6 MB	62.2 MB	53.1 MB
117	f3/61c3fe	2728740	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5405022)	COMPLETED	0	2023-10-18 18:00:50.156	8.6s	7s	52.3%	151.9 MB	15.1 GB	20.8 MB	206.7 KB
145	42/c1bcc6	2734589	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5556343)	COMPLETED	0	2023-10-18 18:00:55.247	5.2s	2s	15.3%	4.1 MB	49.3 MB	119.8 KB	4 KB
119	62/73e9e6	2739728	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (SRR13500958)	COMPLETED	0	2023-10-18 18:00:58.823	1.7s	0ms	158.9%	3.5 MB	7.8 MB	113.9 KB	1.8 KB
147	87/2aacf1	2739729	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5405022)	COMPLETED	0	2023-10-18 18:00:58.827	2.7s	0ms	56.5%	2.8 MB	13.4 MB	97.4 KB	545 B
146	e5/d81246	2735779	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5556343)	COMPLETED	0	2023-10-18 18:00:56.268	5.8s	0ms	15.4%	3 MB	22.1 MB	97.8 KB	542 B
149	4b/253349	2742580	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (SRR13500958)	COMPLETED	0	2023-10-18 18:01:01.553	2.4s	0ms	10.6%	3.5 MB	10.4 MB	101.2 KB	3.2 KB
148	01/92d91b	2741666	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5405022)	COMPLETED	0	2023-10-18 18:01:00.467	3.9s	0ms	7.9%	3.5 MB	10.8 MB	129.4 KB	7.5 KB
120	9e/3352ba	2741694	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (SRR13500958)	COMPLETED	0	2023-10-18 18:01:00.503	4.8s	3s	75.7%	147.9 MB	15.2 GB	20.8 MB	106.3 KB
151	78/ab10ff	2745849	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5405022)	COMPLETED	0	2023-10-18 18:01:03.962	2.3s	0ms	83.2%	2.7 MB	13.4 MB	106.3 KB	30.1 KB
152	ba/27da94	2746680	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5556343)	COMPLETED	0	2023-10-18 18:01:04.419	2.1s	0ms	91.2%	2.8 MB	13.4 MB	106.3 KB	30.1 KB
124	1f/09bab8	2748338	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5743893)	COMPLETED	0	2023-10-18 18:01:05.297	1.4s	1s	202.7%	3.2 MB	6.8 MB	114.1 KB	1.8 KB
155	a0/da9690	2750125	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (SRR13500958)	COMPLETED	0	2023-10-18 18:01:06.503	763ms	1s	41.7%	3.4 MB	6.7 MB	117.1 KB	6 KB
153	37/aea955	2749869	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5405022)	COMPLETED	0	2023-10-18 18:01:06.288	1s	1s	28.6%	5.7 MB	10.7 MB	104.6 KB	3.4 KB
158	96/fc1996	2751422	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5743893)	COMPLETED	0	2023-10-18 18:01:07.270	538ms	0ms	27.4%	5.7 MB	15.7 MB	101.2 KB	3.2 KB
161	d9/d6807a	2752704	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (SRR13500958)	COMPLETED	0	2023-10-18 18:01:07.813	437ms	0ms	29.0%	4.5 MB	10.5 MB	103.1 KB	3.4 KB
162	db/13f727	2753482	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5405022)	COMPLETED	0	2023-10-18 18:01:08.254	564ms	0ms	75.7%	3.2 MB	5.4 MB	120.3 KB	4.2 KB
163	28/5631db	2754547	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (SRR13500958)	COMPLETED	0	2023-10-18 18:01:08.823	991ms	0ms	103.4%	3.1 MB	6.8 MB	117.4 KB	3.8 KB
159	11/498c05	2751532	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (ERR5743893)	COMPLETED	0	2023-10-18 18:01:07.313	2.6s	2s	111.4%	18.8 MB	30.1 MB	74.2 MB	68 MB
150	5a/056781	2743041	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:MAKE_BED_MASK (SRR13500958)	COMPLETED	0	2023-10-18 18:01:02.022	7.9s	3s	64.2%	12.3 MB	25.1 MB	58 MB	51.2 MB
125	0c/58464c	2756639	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5556343)	COMPLETED	0	2023-10-18 18:01:09.937	479ms	0ms	154.9%	3.5 MB	7.8 MB	113.8 KB	2.2 KB
128	31/9d030a	2757565	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5405022)	COMPLETED	0	2023-10-18 18:01:10.421	469ms	0ms	138.3%	3.2 MB	6.8 MB	113.9 KB	2.3 KB
123	b7/1e71a1	2750359	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5743893)	COMPLETED	0	2023-10-18 18:01:06.665	4.6s	4s	82.3%	157.1 MB	15.2 GB	20.8 MB	146.7 KB
132	90/bb728e	2758344	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (SRR13500958)	COMPLETED	0	2023-10-18 18:01:10.895	515ms	0ms	121.5%	3.4 MB	7.8 MB	113.5 KB	1.7 KB
130	08/20f88a	2759031	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5743893)	COMPLETED	0	2023-10-18 18:01:11.258	448ms	0ms	99.1%	3.1 MB	6.6 MB	113.6 KB	1.9 KB
136	3f/ca1e88	2759985	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (ERR5405022)	COMPLETED	0	2023-10-18 18:01:11.710	59.5s	59s	128.3%	1.7 GB	6.6 GB	740.8 MB	53.5 MB
135	aa/2555fa	2759346	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (ERR5556343)	COMPLETED	0	2023-10-18 18:01:11.415	1m	1m	126.4%	1.9 GB	6.6 GB	737.2 MB	44.8 MB
137	bb/cb2a3f	2837304	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (SRR13500958)	COMPLETED	0	2023-10-18 18:02:11.569	34.8s	33s	141.9%	1.5 GB	6.5 GB	336.4 MB	29.1 MB
139	68/b8e869	2882231	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:BCFTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-18 18:02:47.148	1.4s	0ms	225.3%	3.4 MB	7.8 MB	120.3 KB	5.9 KB
156	41/fe5a76	2884048	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5405022)	COMPLETED	0	2023-10-18 18:02:48.559	626ms	1s	106.6%	4.6 MB	16.8 MB	177.4 KB	90 KB
157	30/d0231f	2885022	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5556343)	COMPLETED	0	2023-10-18 18:02:49.189	479ms	0ms	118.2%	3.6 MB	12.3 MB	177.2 KB	90 KB
166	4e/cddf2b	2885813	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5743893)	COMPLETED	0	2023-10-18 18:02:49.679	537ms	1s	18.2%	4.5 MB	10.3 MB	124.7 KB	6.7 KB
167	b1/e4c55c	2887139	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:TABIX_TABIX (ERR5181310)	COMPLETED	0	2023-10-18 18:02:50.221	368ms	0ms	44.7%	5.7 MB	15.7 MB	101.4 KB	3.2 KB
170	2c/d57796	2887867	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5405022)	COMPLETED	0	2023-10-18 18:02:50.593	418ms	12ms	77.5%	0	0	149.5 KB	31.2 KB
165	3b/509768	2885805	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (SRR13500958)	COMPLETED	0	2023-10-18 18:02:49.675	1.5s	1s	88.7%	2.8 MB	13.4 MB	81.2 KB	476 B
164	66/6dcc2f	2885797	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MERGE (ERR5743893)	COMPLETED	0	2023-10-18 18:02:49.672	1.5s	1s	76.8%	2.6 MB	13.4 MB	97.4 KB	535 B
171	00/2a56df	2888631	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5556343)	COMPLETED	0	2023-10-18 18:02:51.014	401ms	16ms	69.8%	0	0	149.5 KB	31.2 KB
173	63/67b84d	2888852	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5743893)	COMPLETED	0	2023-10-18 18:02:51.153	406ms	0ms	42.8%	3.5 MB	8.5 MB	103.8 KB	3.4 KB
174	c6/011beb	2888934	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5181310)	COMPLETED	0	2023-10-18 18:02:51.184	445ms	0ms	100.0%	3.5 MB	7.8 MB	114.1 KB	3.5 KB
180	1c/442bf0	2890023	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:BCFTOOLS_STATS (ERR5743893)	COMPLETED	0	2023-10-18 18:02:51.633	476ms	1s	93.0%	3.3 MB	7.8 MB	118.8 KB	4 KB
177	fc/089ea3	2889811	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (SRR13500958)	COMPLETED	0	2023-10-18 18:02:51.563	1.4s	0ms	95.0%	2.8 MB	13.4 MB	106.2 KB	30.1 KB
178	92/b69908	2889812	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BEDTOOLS_MASKFASTA (ERR5743893)	COMPLETED	0	2023-10-18 18:02:51.567	1.4s	0ms	74.6%	2.8 MB	11 MB	106.3 KB	30.1 KB
168	f2/72419f	2892223	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_FILTER (ERR5181310)	COMPLETED	0	2023-10-18 18:02:52.974	521ms	0ms	155.5%	3.2 MB	6.8 MB	114.6 KB	2.1 KB
138	bf/c934dd	2837648	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:ASCIIGENOME (ERR5743893)	COMPLETED	0	2023-10-18 18:02:11.755	42s	41s	132.4%	1.7 GB	6.8 GB	367.5 MB	32 MB
175	ab/bbd21c	2893550	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_LONG_TABLE:BCFTOOLS_QUERY (ERR5181310)	COMPLETED	0	2023-10-18 18:02:53.735	471ms	1s	104.7%	3.4 MB	7.8 MB	114.1 KB	2.3 KB
169	c7/8394d0	2893213	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:SNPEFF_ANN (ERR5181310)	COMPLETED	0	2023-10-18 18:02:53.501	4.9s	4s	78.4%	159.9 MB	15.3 GB	20.8 MB	178.3 KB
176	50/7fa2a5	2894266	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5405022.consensus.fa)	COMPLETED	0	2023-10-18 18:02:54.209	6.7s	5s	93.0%	384.2 MB	1.5 GB	23.1 MB	2.6 MB
179	26/ac7759	2898839	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:CONSENSUS_QC:PLOT_BASE_DENSITY (ERR5556343.consensus.fa)	COMPLETED	0	2023-10-18 18:02:58.371	5.7s	4s	105.6%	385.1 MB	1.5 GB	23.1 MB	2.6 MB
182	ef/92f207	2905509	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (SRR13500958)	COMPLETED	0	2023-10-18 18:03:04.102	504ms	0ms	180.6%	3.6 MB	12.3 MB	176.9 KB	90 KB
183	0e/234cd4	2906362	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:BCFTOOLS_CONSENSUS (ERR5743893)	COMPLETED	0	2023-10-18 18:03:04.611	516ms	1s	197.1%	3.1 MB	6.8 MB	177.1 KB	90 KB
186	3c/240ce5	2907216	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:TABIX_BGZIP (ERR5181310)	COMPLETED	0	2023-10-18 18:03:05.167	738ms	0ms	38.4%	3.5 MB	6.7 MB	130.4 KB	7.6 KB
184	28/6fbb98	2907148	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:TABIX_TABIX (ERR5181310)	COMPLETED	0	2023-10-18 18:03:05.134	822ms	0ms	17.7%	3.5 MB	8.4 MB	101.5 KB	3.2 KB
187	85/c182bd	2908325	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (SRR13500958)	COMPLETED	0	2023-10-18 18:03:05.909	469ms	12ms	87.1%	0	0	149.5 KB	31.2 KB
188	ed/0f1843	2908424	NFCORE_VIRALRECON:ILLUMINA:CONSENSUS_BCFTOOLS:RENAME_FASTA_HEADER (ERR5743893)	COMPLETED	0	2023-10-18 18:03:05.961	491ms	9ms	47.6%	0	0	149.5 KB	31.2 KB
189	7d/f616a2	2909027	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:VARIANTS_QC:SNPEFF_SNPSIFT:VCF_BGZIP_TABIX_STATS:VCF_TABIX_STATS:TABIX_TABIX (ERR5181310)	COMPLETED	0	2023-10-18 18:03:06.386	657ms	0ms	37.9%	3.4 MB	6.8 MB	104.8 KB	3.4 KB
